gene_id	gene_name	entrezid	gene_biotype	gene_seq_start	gene_seq_end	seq_name	seq_strand	seq_coord_system
ENSG00000012817	KDM5D	8284	protein_coding	21865751	21906825	Y	-1	chromosome
ENSG00000067048	DDX3Y	8653	protein_coding	15016019	15032390	Y	1	chromosome
ENSG00000067646	ZFY	7544	protein_coding	2803112	2850547	Y	1	chromosome
ENSG00000092377	TBL1Y	90665	protein_coding	6778727	6959724	Y	1	chromosome
ENSG00000099715	PCDH11Y	83259;27328	protein_coding	4868267	5610265	Y	1	chromosome
ENSG00000099721	AMELY	266	protein_coding	6733959	6742068	Y	-1	chromosome
ENSG00000099725	PRKY	5616	pseudogene	7142013	7249589	Y	1	chromosome
ENSG00000114374	USP9Y	8287	protein_coding	14813160	14972764	Y	1	chromosome
ENSG00000129816	TTTY1B	50858;100101116	lincRNA	6258472	6279605	Y	1	chromosome
ENSG00000129824	RPS4Y1	6192	protein_coding	2709527	2800041	Y	1	chromosome
ENSG00000129845	TTTY1	50858;100101116	lincRNA	9590765	9611898	Y	-1	chromosome
ENSG00000129862	VCY1B	9084;353513	protein_coding	16168097	16168838	Y	1	chromosome
ENSG00000129864	VCY	9084;353513	protein_coding	16097652	16098393	Y	-1	chromosome
ENSG00000129873	CDY2B	9426;203611	protein_coding	19989290	19992100	Y	-1	chromosome
ENSG00000131002	TXLNG2P	246126	pseudogene	21729199	21768160	Y	1	chromosome
ENSG00000131007	TTTY9B	83864;425057	antisense	20743092	20752407	Y	-1	chromosome
ENSG00000131538	TTTY6	84672;441543	lincRNA	24585740	24587605	Y	-1	chromosome
ENSG00000131548	TTTY6B	84672;441543	antisense	24291113	24292978	Y	1	chromosome
ENSG00000147753	TTTY7	246122	lincRNA	6317509	6325947	Y	1	chromosome
ENSG00000147761	TTTY7B	100101120	lincRNA	9544433	9552871	Y	-1	chromosome
ENSG00000154620	TMSB4Y	9087	protein_coding	15815447	15817904	Y	1	chromosome
ENSG00000157828	RPS4Y2	140032	protein_coding	22918050	22942918	Y	1	chromosome
ENSG00000165246	NLGN4Y	22829	protein_coding	16634518	16957530	Y	1	chromosome
ENSG00000168757	TSPY2	64591	protein_coding	6114264	6117060	Y	1	chromosome
ENSG00000169763	PRYP3		pseudogene	25827587	25840726	Y	-1	chromosome
