tx_id	tx_biotype	tx_seq_start	tx_seq_end	tx_cds_seq_start	tx_cds_seq_end	gene_id
ENST00000469599	retained_intron	21865751	21878581	NULL	NULL	ENSG00000012817
ENST00000317961	protein_coding	21867301	21906809	21867881	21906420	ENSG00000012817
ENST00000382806	protein_coding	21867306	21906647	21867881	21906420	ENSG00000012817
ENST00000492117	retained_intron	21867311	21884353	NULL	NULL	ENSG00000012817
ENST00000440077	protein_coding	21867949	21906809	21867949	21906420	ENSG00000012817
ENST00000415360	protein_coding	21869068	21870835	21869068	21870835	ENSG00000012817
ENST00000485154	retained_intron	21871586	21872492	NULL	NULL	ENSG00000012817
ENST00000478891	retained_intron	21877022	21878234	NULL	NULL	ENSG00000012817
ENST00000447300	protein_coding	21883158	21906597	21883158	21906420	ENSG00000012817
ENST00000541639	protein_coding	21867303	21906825	21867881	21906420	ENSG00000012817
ENST00000360160	protein_coding	15016019	15030451	15016848	15030034	ENSG00000067048
ENST00000454054	protein_coding	15016029	15025765	15016848	15025765	ENSG00000067048
ENST00000336079	protein_coding	15016742	15032390	15016848	15030034	ENSG00000067048
ENST00000493363	processed_transcript	15016760	15021607	NULL	NULL	ENSG00000067048
ENST00000440554	protein_coding	15017649	15026561	15017691	15026561	ENSG00000067048
ENST00000469101	processed_transcript	15024552	15025713	NULL	NULL	ENSG00000067048
ENST00000472510	processed_transcript	15024875	15026811	NULL	NULL	ENSG00000067048
ENST00000463199	processed_transcript	15024920	15027139	NULL	NULL	ENSG00000067048
ENST00000495478	processed_transcript	15027408	15028265	NULL	NULL	ENSG00000067048
ENST00000383052	protein_coding	2803322	2850547	2821978	2848034	ENSG00000067646
ENST00000469869	processed_transcript	2803541	2846094	NULL	NULL	ENSG00000067646
ENST00000443793	protein_coding	2803546	2829327	2821978	2829327	ENSG00000067646
ENST00000478783	processed_transcript	2845860	2847391	NULL	NULL	ENSG00000067646
ENST00000431102	protein_coding	2803112	2850546	2821978	2848034	ENSG00000067646
ENST00000155093	protein_coding	2803518	2850546	2821978	2848034	ENSG00000067646
ENST00000449237	protein_coding	2803518	2850546	2829132	2848034	ENSG00000067646
ENST00000383032	protein_coding	6778727	6959724	6893126	6959533	ENSG00000092377
ENST00000355162	protein_coding	6778727	6959724	6893126	6959533	ENSG00000092377
ENST00000346432	protein_coding	6778727	6959724	6893126	6959533	ENSG00000092377
ENST00000333703	protein_coding	4868267	4973485	4900738	4972402	ENSG00000099715
ENST00000362095	protein_coding	4924131	4972741	4924865	4972402	ENSG00000099715
ENST00000400457	protein_coding	4924930	5610265	4924930	5605983	ENSG00000099715
ENST00000215473	protein_coding	4924865	5605983	4924865	5605983	ENSG00000099715
ENST00000215479	protein_coding	6733959	6742068	6734114	6740649	ENSG00000099721
ENST00000383036	protein_coding	6734114	6740649	6734114	6740649	ENSG00000099721
ENST00000383037	protein_coding	6736078	6740649	6736078	6740649	ENSG00000099721
ENST00000528056	processed_transcript	7142013	7249589	NULL	NULL	ENSG00000099725
ENST00000533551	transcribed_unprocessed_pseudogene	7142354	7239909	NULL	NULL	ENSG00000099725
ENST00000495163	processed_transcript	7194108	7196444	NULL	NULL	ENSG00000099725
ENST00000472666	processed_transcript	7201071	7224264	NULL	NULL	ENSG00000099725
ENST00000362758	transcribed_unprocessed_pseudogene	7142336	7235456	NULL	NULL	ENSG00000099725
ENST00000338981	protein_coding	14813160	14972764	14821381	14971341	ENSG00000114374
ENST00000493168	processed_transcript	14813969	14833136	NULL	NULL	ENSG00000114374
ENST00000426564	processed_transcript	14821369	14972764	NULL	NULL	ENSG00000114374
ENST00000453031	protein_coding	14958970	14971537	14958970	14971341	ENSG00000114374
ENST00000471409	processed_transcript	14968738	14972764	NULL	NULL	ENSG00000114374
ENST00000250776	lincRNA	6258472	6279605	NULL	NULL	ENSG00000129816
ENST00000250784	protein_coding	2709527	2735309	2709666	2734935	ENSG00000129824
ENST00000430575	protein_coding	2709961	2734903	2709985	2734903	ENSG00000129824
ENST00000477725	processed_transcript	2722137	2734997	NULL	NULL	ENSG00000129824
ENST00000515575	processed_transcript	2722771	2800041	NULL	NULL	ENSG00000129824
ENST00000250805	lincRNA	9590765	9611898	NULL	NULL	ENSG00000129845
ENST00000250823	protein_coding	16168097	16168838	16168170	16168739	ENSG00000129862
ENST00000250825	protein_coding	16097652	16098393	16097751	16098320	ENSG00000129864
ENST00000382867	protein_coding	19990147	19992100	19990147	19991772	ENSG00000129873
ENST00000544303	protein_coding	19989290	19992098	19989665	19991772	ENSG00000129873
ENST00000407724	processed_transcript	21729199	21752133	NULL	NULL	ENSG00000131002
ENST00000459719	retained_intron	21729236	21752304	NULL	NULL	ENSG00000131002
ENST00000447520	processed_transcript	21729268	21752309	NULL	NULL	ENSG00000131002
ENST00000445715	transcribed_unprocessed_pseudogene	21729268	21766006	NULL	NULL	ENSG00000131002
ENST00000538014	retained_intron	21729673	21751735	NULL	NULL	ENSG00000131002
ENST00000447202	retained_intron	21729715	21751733	NULL	NULL	ENSG00000131002
ENST00000588613	processed_transcript	21750429	21755603	NULL	NULL	ENSG00000131002
ENST00000589075	processed_transcript	21750456	21752305	NULL	NULL	ENSG00000131002
ENST00000585549	processed_transcript	21750495	21755488	NULL	NULL	ENSG00000131002
ENST00000587095	processed_transcript	21750497	21755488	NULL	NULL	ENSG00000131002
ENST00000488280	processed_transcript	21752639	21755537	NULL	NULL	ENSG00000131002
ENST00000253320	processed_transcript	21754336	21768160	NULL	NULL	ENSG00000131002
ENST00000593000	retained_intron	21754974	21756047	NULL	NULL	ENSG00000131002
ENST00000592697	processed_transcript	21759243	21765937	NULL	NULL	ENSG00000131002
ENST00000251749	transcribed_unprocessed_pseudogene	21729235	21752308	NULL	NULL	ENSG00000131002
ENST00000382832	transcribed_unprocessed_pseudogene	21758442	21767698	NULL	NULL	ENSG00000131002
ENST00000433794	antisense	20743092	20752407	NULL	NULL	ENSG00000131007
ENST00000545582	antisense	20743092	20750598	NULL	NULL	ENSG00000131007
ENST00000253838	lincRNA	24585740	24587605	NULL	NULL	ENSG00000131538
ENST00000538537	lincRNA	24585887	24587549	NULL	NULL	ENSG00000131538
ENST00000253848	antisense	24291113	24292978	NULL	NULL	ENSG00000131548
ENST00000545808	antisense	24291169	24292831	NULL	NULL	ENSG00000131548
ENST00000457100	lincRNA	6317509	6325947	NULL	NULL	ENSG00000147753
ENST00000276770	lincRNA	6317509	6325947	NULL	NULL	ENSG00000147753
ENST00000449828	lincRNA	6321946	6325947	NULL	NULL	ENSG00000147753
ENST00000447655	lincRNA	9544433	9548434	NULL	NULL	ENSG00000147761
ENST00000276779	lincRNA	9544433	9552871	NULL	NULL	ENSG00000147761
ENST00000415405	lincRNA	9544433	9552871	NULL	NULL	ENSG00000147761
ENST00000284856	protein_coding	15815447	15817904	15816216	15817139	ENSG00000154620
ENST00000288666	protein_coding	22918050	22942918	22918050	22942918	ENSG00000157828
ENST00000471252	processed_transcript	16634518	16734377	NULL	NULL	ENSG00000165246
ENST00000382872	protein_coding	16634632	16957530	16835029	16953142	ENSG00000165246
ENST00000355905	protein_coding	16635626	16955606	16734000	16953142	ENSG00000165246
ENST00000382868	protein_coding	16635626	16955606	16734000	16953142	ENSG00000165246
ENST00000476359	processed_transcript	16635626	16955606	NULL	NULL	ENSG00000165246
ENST00000481089	processed_transcript	16636409	16734248	NULL	NULL	ENSG00000165246
ENST00000339174	protein_coding	16636454	16955527	16734000	16953142	ENSG00000165246
ENST00000413217	protein_coding	16734061	16845429	16734061	16845417	ENSG00000165246
ENST00000297967	protein_coding	16733901	16845429	16734000	16845417	ENSG00000165246
ENST00000320701	protein_coding	6114264	6117054	6114310	6116866	ENSG00000168757
ENST00000383042	protein_coding	6114310	6117053	6114310	6116119	ENSG00000168757
ENST00000470569	retained_intron	6114310	6117060	NULL	NULL	ENSG00000168757
ENST00000464674	retained_intron	6115664	6117045	NULL	NULL	ENSG00000168757
ENST00000343584	processed_transcript	25827587	25840726	NULL	NULL	ENSG00000169763
ENST00000607210	transcribed_unprocessed_pseudogene	25828154	25840674	NULL	NULL	ENSG00000169763
ENST00000303593	transcribed_unprocessed_pseudogene	25829559	25840710	NULL	NULL	ENSG00000169763
ENST00000303728	protein_coding	24636544	24660784	24647712	24660217	ENSG00000169789
ENST00000477123	nonsense_mediated_decay	24636544	24660784	24647712	24658815	ENSG00000169789
ENST00000338793	protein_coding	24636544	24658815	24647712	24658815	ENSG00000169789
ENST00000303766	protein_coding	24314689	24329095	24314967	24327116	ENSG00000169800
ENST00000481858	processed_transcript	24314689	24329104	NULL	NULL	ENSG00000169800
ENST00000454978	protein_coding	24314689	24329129	24314967	24327116	ENSG00000169800
ENST00000303804	protein_coding	24217903	24242154	24218470	24230986	ENSG00000169807
ENST00000472391	nonsense_mediated_decay	24217903	24242154	24219875	24230986	ENSG00000169807
ENST00000341740	protein_coding	24219875	24242154	24219875	24230986	ENSG00000169807
ENST00000382759	unprocessed_pseudogene	23655405	23663854	NULL	NULL	ENSG00000169811
ENST00000326985	unprocessed_pseudogene	23655405	23662391	NULL	NULL	ENSG00000169811
ENST00000426043	unprocessed_pseudogene	23661276	23663854	NULL	NULL	ENSG00000169811
ENST00000303979	unprocessed_pseudogene	23630044	23632569	NULL	NULL	ENSG00000169849
ENST00000344884	protein_coding	20893326	20935601	20893655	20935504	ENSG00000169953
ENST00000491902	processed_transcript	20893326	20935601	NULL	NULL	ENSG00000169953
ENST00000382852	protein_coding	20930807	20935572	20931484	20935504	ENSG00000169953
ENST00000304790	protein_coding	20933700	20935621	20933821	20935504	ENSG00000169953
ENST00000505047	processed_transcript	20934594	20990548	NULL	NULL	ENSG00000169953
ENST00000306589	unprocessed_pseudogene	28121696	28134216	NULL	NULL	ENSG00000172283
ENST00000338673	unprocessed_pseudogene	28121660	28132811	NULL	NULL	ENSG00000172283
ENST00000306609	protein_coding	27768309	27771049	27768590	27770674	ENSG00000172288
ENST00000361963	protein_coding	27768264	27770483	27768590	27770212	ENSG00000172288
ENST00000333235	unprocessed_pseudogene	27624416	27629777	NULL	NULL	ENSG00000172294
ENST00000539489	unprocessed_pseudogene	27629055	27632852	NULL	NULL	ENSG00000172294
ENST00000416946	unprocessed_pseudogene	27600708	27606719	NULL	NULL	ENSG00000172297
ENST00000306667	unprocessed_pseudogene	27601458	27606322	NULL	NULL	ENSG00000172297
ENST00000423852	unprocessed_pseudogene	26355714	26361728	NULL	NULL	ENSG00000172332
ENST00000338706	unprocessed_pseudogene	26356114	26360978	NULL	NULL	ENSG00000172332
ENST00000418188	unprocessed_pseudogene	26332656	26338017	NULL	NULL	ENSG00000172342
ENST00000306882	protein_coding	26191376	26194116	26191751	26193835	ENSG00000172352
ENST00000382407	protein_coding	26191940	26194166	26192213	26193835	ENSG00000172352
ENST00000307393	protein_coding	20708557	20710478	20708674	20710357	ENSG00000172468
ENST00000309834	protein_coding	20708577	20750849	20708674	20750520	ENSG00000172468
ENST00000338876	nonsense_mediated_decay	20708577	20750849	20708674	20712690	ENSG00000172468
ENST00000382856	protein_coding	20708606	20713351	20708674	20712690	ENSG00000172468
ENST00000455422	transcribed_unprocessed_pseudogene	8774265	8784114	NULL	NULL	ENSG00000173357
ENST00000311828	processed_transcript	8777989	8782196	NULL	NULL	ENSG00000173357
ENST00000416687	transcribed_unprocessed_pseudogene	8774265	8782184	NULL	NULL	ENSG00000173357
ENST00000321217	protein_coding	3447082	3448082	3447286	3447843	ENSG00000176679
ENST00000559055	protein_coding	3447156	3448082	3447286	3447843	ENSG00000176679
ENST00000324446	lincRNA	21034387	21040114	NULL	NULL	ENSG00000176728
ENST00000454875	lincRNA	21034389	21239004	NULL	NULL	ENSG00000176728
ENST00000452584	lincRNA	21094203	21237882	NULL	NULL	ENSG00000176728
ENST00000331787	lincRNA	21094585	21239302	NULL	NULL	ENSG00000176728
ENST00000447937	lincRNA	21203384	21239281	NULL	NULL	ENSG00000176728
ENST00000253470	lincRNA	8651351	8685423	NULL	NULL	ENSG00000180910
ENST00000426790	protein_coding	20137669	20140477	20137995	20140102	ENSG00000182415
ENST00000250838	protein_coding	20137667	20139626	20137995	20139620	ENSG00000182415
ENST00000382764	protein_coding	23544840	23548246	23545072	23548149	ENSG00000183146
ENST00000329684	lincRNA	9528709	9531308	NULL	NULL	ENSG00000183385
ENST00000426035	lincRNA	9528709	9531566	NULL	NULL	ENSG00000183385
ENST00000331172	protein_coding	13496241	13524717	13496255	13524717	ENSG00000183704
ENST00000602732	protein_coding	25119966	25138523	25138491	25138523	ENSG00000183753
ENST00000331070	protein_coding	25130410	25151606	25138491	25144415	ENSG00000183753
ENST00000602818	processed_transcript	25130434	25151553	NULL	NULL	ENSG00000183753
ENST00000382585	protein_coding	25130410	25151612	25138491	25144415	ENSG00000183753
ENST00000602770	protein_coding	26753707	26772264	26772232	26772264	ENSG00000183795
ENST00000382392	protein_coding	26764151	26785354	26772232	26778157	ENSG00000183795
ENST00000602549	processed_transcript	26764175	26785295	NULL	NULL	ENSG00000183795
ENST00000331397	protein_coding	15360259	15592553	15361736	15591545	ENSG00000183878
ENST00000362096	protein_coding	15409321	15592550	15409583	15591545	ENSG00000183878
ENST00000329134	protein_coding	15434914	15592550	15434994	15591545	ENSG00000183878
ENST00000478900	processed_transcript	15472368	15591420	NULL	NULL	ENSG00000183878
ENST00000474365	processed_transcript	15505032	15591384	NULL	NULL	ENSG00000183878
ENST00000382893	protein_coding	15508182	15591858	15508784	15591545	ENSG00000183878
ENST00000479713	processed_transcript	15590922	15591803	NULL	NULL	ENSG00000183878
ENST00000382896	protein_coding	15361736	15591545	15361736	15591545	ENSG00000183878
ENST00000537580	protein_coding	15361736	15591545	15361736	15591545	ENSG00000183878
ENST00000538878	protein_coding	15434927	15591551	15434994	15591545	ENSG00000183878
ENST00000540140	protein_coding	15434948	15591545	15435229	15591545	ENSG00000183878
ENST00000545955	protein_coding	15435435	15591545	15435435	15591545	ENSG00000183878
ENST00000383070	protein_coding	2654896	2655740	2655030	2655644	ENSG00000184895
ENST00000525526	protein_coding	2655049	2655644	2655049	2655644	ENSG00000184895
ENST00000534739	protein_coding	2655145	2655644	2655145	2655644	ENSG00000184895
ENST00000330337	lincRNA	23745486	23756552	NULL	NULL	ENSG00000184991
ENST00000382840	processed_pseudogene	21154353	21154595	NULL	NULL	ENSG00000185275
ENST00000455570	lincRNA	6338814	6341671	NULL	NULL	ENSG00000185700
ENST00000328819	lincRNA	6339072	6341671	NULL	NULL	ENSG00000185700
ENST00000382287	protein_coding	27177048	27198251	27184245	27190170	ENSG00000185894
ENST00000602559	processed_transcript	27177107	27198227	NULL	NULL	ENSG00000185894
ENST00000602680	protein_coding	27190138	27208695	27190138	27190170	ENSG00000185894
ENST00000382365	protein_coding	26909216	26959626	26915081	26959332	ENSG00000187191
ENST00000446723	protein_coding	26909220	26959542	26915081	26959332	ENSG00000187191
ENST00000315357	protein_coding	26909222	26959540	26915081	26959332	ENSG00000187191
ENST00000400212	protein_coding	26929528	26959519	26929528	26959332	ENSG00000187191
ENST00000306737	protein_coding	26934285	26959519	26934285	26959332	ENSG00000187191
ENST00000338964	unprocessed_pseudogene	9743204	9745748	NULL	NULL	ENSG00000187657
ENST00000405239	protein_coding	25275502	25345241	25281357	25344947	ENSG00000188120
ENST00000466332	processed_transcript	25275510	25286959	NULL	NULL	ENSG00000188120
ENST00000382510	protein_coding	25276010	25345070	25276427	25344947	ENSG00000188120
ENST00000426000	protein_coding	25275506	25345140	25281357	25344947	ENSG00000188120
ENST00000540248	protein_coding	25275509	25345157	25281357	25344947	ENSG00000188120
ENST00000344424	unprocessed_pseudogene	28555962	28566682	NULL	NULL	ENSG00000188399
ENST00000431358	unprocessed_pseudogene	9215731	9218480	NULL	NULL	ENSG00000188656
ENST00000382670	unprocessed_pseudogene	9148739	9160478	NULL	NULL	ENSG00000197038
ENST00000538925	unprocessed_pseudogene	9154670	9160483	NULL	NULL	ENSG00000197038
ENST00000441780	unprocessed_pseudogene	27641798	27648105	NULL	NULL	ENSG00000197092
ENST00000361365	protein_coding	22737611	22755040	22737758	22754232	ENSG00000198692
ENST00000465253	processed_transcript	22737664	22750415	NULL	NULL	ENSG00000198692
ENST00000382772	protein_coding	22737680	22754516	22737758	22754232	ENSG00000198692
ENST00000464196	processed_transcript	22748604	22754516	NULL	NULL	ENSG00000198692
ENST00000485584	processed_transcript	22749733	22754516	NULL	NULL	ENSG00000198692
ENST00000382314	protein_coding	26980064	27053183	26980274	27047322	ENSG00000205916
ENST00000382296	protein_coding	26997726	27047331	26997726	27047322	ENSG00000205916
ENST00000449750	protein_coding	26980064	27053183	26980274	27047322	ENSG00000205916
ENST00000415508	protein_coding	26980066	27053181	26980274	27047322	ENSG00000205916
ENST00000440066	protein_coding	26980081	27053183	26980274	27047322	ENSG00000205916
ENST00000382432	protein_coding	26980008	27053183	26980274	27020194	ENSG00000205916
ENST00000400494	protein_coding	26980087	27053181	26980274	27020194	ENSG00000205916
ENST00000382290	protein_coding	26980008	27053183	26980274	27015437	ENSG00000205916
ENST00000416956	unprocessed_pseudogene	25525631	25538844	NULL	NULL	ENSG00000205936
ENST00000382449	protein_coding	25365594	25437503	25365888	25431648	ENSG00000205944
ENST00000382440	protein_coding	25365622	25437499	25365888	25431648	ENSG00000205944
