tx_id	exon_id	exon_idx
ENST00000469599	ENSE00001902471	1
ENST00000469599	ENSE00003665408	2
ENST00000469599	ENSE00003572891	3
ENST00000469599	ENSE00003452486	4
ENST00000469599	ENSE00003535737	5
ENST00000469599	ENSE00003306433	6
ENST00000469599	ENSE00003587057	7
ENST00000469599	ENSE00003522786	8
ENST00000469599	ENSE00003674105	9
ENST00000469599	ENSE00003605358	10
ENST00000469599	ENSE00001928834	11
ENST00000469599	ENSE00001954294	12
ENST00000317961	ENSE00001733393	1
ENST00000317961	ENSE00000891759	2
ENST00000317961	ENSE00000652508	3
ENST00000317961	ENSE00000652506	4
ENST00000317961	ENSE00001788914	5
ENST00000317961	ENSE00001805865	6
ENST00000317961	ENSE00000652503	7
ENST00000317961	ENSE00000652502	8
ENST00000317961	ENSE00000652501	9
ENST00000317961	ENSE00001799734	10
ENST00000317961	ENSE00000652498	11
ENST00000317961	ENSE00001786866	12
ENST00000317961	ENSE00003497148	13
ENST00000317961	ENSE00003688313	14
ENST00000317961	ENSE00003664560	15
ENST00000317961	ENSE00003602862	16
ENST00000317961	ENSE00003491684	17
ENST00000317961	ENSE00003488142	18
ENST00000317961	ENSE00003534652	19
ENST00000317961	ENSE00003607600	20
ENST00000317961	ENSE00003544083	21
ENST00000317961	ENSE00003591494	22
ENST00000317961	ENSE00003484526	23
ENST00000317961	ENSE00003539670	24
ENST00000317961	ENSE00001670444	25
ENST00000317961	ENSE00001594027	26
ENST00000317961	ENSE00001945799	27
ENST00000382806	ENSE00001277406	1
ENST00000382806	ENSE00000891759	2
ENST00000382806	ENSE00000652508	3
ENST00000382806	ENSE00000652506	4
ENST00000382806	ENSE00001805865	5
ENST00000382806	ENSE00000652503	6
ENST00000382806	ENSE00000652502	7
ENST00000382806	ENSE00000652501	8
ENST00000382806	ENSE00001799734	9
ENST00000382806	ENSE00000652498	10
ENST00000382806	ENSE00001786866	11
ENST00000382806	ENSE00003497148	12
ENST00000382806	ENSE00003688313	13
ENST00000382806	ENSE00003664560	14
ENST00000382806	ENSE00003602862	15
ENST00000382806	ENSE00003491684	16
ENST00000382806	ENSE00003488142	17
ENST00000382806	ENSE00003534652	18
ENST00000382806	ENSE00003607600	19
ENST00000382806	ENSE00003544083	20
ENST00000382806	ENSE00003591494	21
ENST00000382806	ENSE00003484526	22
ENST00000382806	ENSE00003539670	23
ENST00000382806	ENSE00001670444	24
ENST00000382806	ENSE00001594027	25
ENST00000382806	ENSE00001919342	26
ENST00000492117	ENSE00001946630	1
ENST00000492117	ENSE00003582949	2
ENST00000492117	ENSE00003593440	3
ENST00000492117	ENSE00003665408	4
ENST00000492117	ENSE00001900202	5
ENST00000492117	ENSE00003677957	6
ENST00000492117	ENSE00003607967	7
ENST00000492117	ENSE00003535737	8
ENST00000492117	ENSE00003484073	9
ENST00000492117	ENSE00003587057	10
ENST00000492117	ENSE00003522786	11
ENST00000492117	ENSE00003674105	12
ENST00000492117	ENSE00003605358	13
ENST00000492117	ENSE00001928834	14
ENST00000492117	ENSE00001941473	15
ENST00000440077	ENSE00001733393	1
ENST00000440077	ENSE00000891759	2
ENST00000440077	ENSE00000652508	3
ENST00000440077	ENSE00001788914	4
ENST00000440077	ENSE00001805865	5
ENST00000440077	ENSE00000652503	6
ENST00000440077	ENSE00000652502	7
ENST00000440077	ENSE00000652501	8
ENST00000440077	ENSE00001799734	9
ENST00000440077	ENSE00000652498	10
ENST00000440077	ENSE00001786866	11
ENST00000440077	ENSE00003497148	12
ENST00000440077	ENSE00003688313	13
ENST00000440077	ENSE00003664560	14
ENST00000440077	ENSE00003602862	15
ENST00000440077	ENSE00003491684	16
ENST00000440077	ENSE00003488142	17
ENST00000440077	ENSE00003534652	18
ENST00000440077	ENSE00003607600	19
ENST00000440077	ENSE00003544083	20
ENST00000440077	ENSE00003591494	21
ENST00000440077	ENSE00003484526	22
ENST00000440077	ENSE00003539670	23
ENST00000440077	ENSE00001670444	24
ENST00000440077	ENSE00001594027	25
ENST00000440077	ENSE00001741626	26
ENST00000415360	ENSE00001692290	1
ENST00000415360	ENSE00001803510	2
ENST00000415360	ENSE00003484526	3
ENST00000415360	ENSE00001658853	4
ENST00000485154	ENSE00001849878	1
ENST00000485154	ENSE00001940004	2
ENST00000478891	ENSE00001928223	1
ENST00000478891	ENSE00003572891	2
ENST00000478891	ENSE00001930174	3
ENST00000447300	ENSE00001685428	1
ENST00000447300	ENSE00000891759	2
ENST00000447300	ENSE00000652508	3
ENST00000447300	ENSE00000652506	4
ENST00000447300	ENSE00001788914	5
ENST00000447300	ENSE00000652503	6
ENST00000447300	ENSE00000652502	7
ENST00000447300	ENSE00000652501	8
ENST00000447300	ENSE00001799734	9
ENST00000447300	ENSE00000652498	10
ENST00000447300	ENSE00001652491	11
ENST00000541639	ENSE00002279676	1
ENST00000541639	ENSE00000891759	2
ENST00000541639	ENSE00000652508	3
ENST00000541639	ENSE00000652506	4
ENST00000541639	ENSE00001788914	5
ENST00000541639	ENSE00001805865	6
ENST00000541639	ENSE00000652503	7
ENST00000541639	ENSE00000652502	8
ENST00000541639	ENSE00000652501	9
ENST00000541639	ENSE00001799734	10
ENST00000541639	ENSE00000652498	11
ENST00000541639	ENSE00002207746	12
ENST00000541639	ENSE00001786866	13
ENST00000541639	ENSE00003497148	14
ENST00000541639	ENSE00003688313	15
ENST00000541639	ENSE00003664560	16
ENST00000541639	ENSE00003602862	17
ENST00000541639	ENSE00003491684	18
ENST00000541639	ENSE00003488142	19
ENST00000541639	ENSE00003534652	20
ENST00000541639	ENSE00003607600	21
ENST00000541639	ENSE00003544083	22
ENST00000541639	ENSE00003591494	23
