exon_id	exon_seq_start	exon_seq_end
ENSE00001902471	21878482	21878581
ENSE00003665408	21878165	21878359
ENSE00003572891	21877709	21877890
ENSE00003452486	21877470	21877625
ENSE00003535737	21872262	21872358
ENSE00003306433	21871337	21872146
ENSE00003587057	21870761	21870899
ENSE00003522786	21870130	21870309
ENSE00003674105	21869820	21869957
ENSE00003605358	21869033	21869632
ENSE00001928834	21868327	21868749
ENSE00001954294	21865751	21868231
ENSE00001733393	21906557	21906809
ENSE00000891759	21906271	21906439
ENSE00000652508	21905048	21905125
ENSE00000652506	21903621	21903743
ENSE00001788914	21903204	21903374
ENSE00001805865	21901414	21901548
ENSE00000652503	21897507	21897636
ENSE00000652502	21897238	21897383
ENSE00000652501	21894470	21894628
ENSE00001799734	21893932	21894051
ENSE00000652498	21893658	21893816
ENSE00001786866	21883016	21883197
ENSE00003497148	21882758	21882920
ENSE00003688313	21878482	21878601
ENSE00003664560	21878165	21878359
ENSE00003602862	21877709	21877890
ENSE00003491684	21877501	21877625
ENSE00003488142	21877238	21877385
ENSE00003534652	21872262	21872358
ENSE00003607600	21871337	21871695
ENSE00003544083	21870761	21870899
ENSE00003591494	21870130	21870309
ENSE00003484526	21869820	21869957
ENSE00003539670	21869033	21869632
ENSE00001670444	21868680	21868749
ENSE00001594027	21868327	21868526
ENSE00001945799	21867301	21868231
ENSE00001277406	21906557	21906647
ENSE00001919342	21867306	21868231
ENSE00001946630	21883016	21884353
ENSE00003582949	21882758	21882920
ENSE00003593440	21878482	21878601
ENSE00001900202	21877709	21877997
ENSE00003677957	21877501	21877625
ENSE00003607967	21877238	21877385
ENSE00003484073	21871337	21871695
ENSE00001941473	21867311	21868231
ENSE00001741626	21867949	21868231
ENSE00001692290	21870761	21870835
ENSE00001803510	21870208	21870309
ENSE00001658853	21869068	21869632
ENSE00001849878	21872262	21872492
ENSE00001940004	21871586	21872146
ENSE00001928223	21878165	21878234
ENSE00001930174	21877022	21877625
ENSE00001685428	21906557	21906597
ENSE00001652491	21883158	21883197
ENSE00002279676	21906557	21906825
ENSE00002207746	21885227	21885319
ENSE00002285913	21867303	21868231
ENSE00001402535	15016019	15016325
ENSE00001403038	15016846	15016892
ENSE00003463722	15019448	15019505
ENSE00001605860	15021271	15021318
ENSE00000862006	15023751	15023880
ENSE00000773394	15024639	15024794
ENSE00003574309	15024875	15024974
ENSE00003652139	15025630	15025765
ENSE00003536211	15026476	15026561
ENSE00001614446	15026796	15026894
ENSE00001746396	15026979	15027139
ENSE00000773388	15027542	15027686
ENSE00003534942	15027795	15027939
ENSE00000773386	15028173	15028354
ENSE00001703401	15028429	15028546
ENSE00001729063	15028819	15028972
ENSE00001722940	15029315	15029454
ENSE00001928277	15029955	15030451
ENSE00001685858	15016029	15016325
ENSE00001350052	15016769	15016892
ENSE00003656145	15025630	15025765
ENSE00001832940	15016742	15016892
ENSE00001352037	15029955	15032390
ENSE00001826669	15016760	15016892
ENSE00003643575	15019448	15019505
ENSE00001906809	15021271	15021607
ENSE00001797666	15017649	15017726
ENSE00003670172	15026476	15026561
ENSE00001937992	15024552	15024974
ENSE00001848230	15025630	15025713
ENSE00003512200	15024875	15024974
ENSE00003537802	15025630	15025765
ENSE00001948256	15026476	15026811
ENSE00001935991	15024920	15024974
ENSE00003534699	15026476	15026561
ENSE00001893350	15026796	15027139
ENSE00001811040	15027408	15027686
ENSE00003693954	15027795	15027939
ENSE00001922429	15028173	15028265
ENSE00001803243	2803322	2803487
ENSE00002223884	2821950	2822038
ENSE00003645989	2829115	2829687
ENSE00003548678	2843136	2843285
ENSE00003611496	2843552	2843695
ENSE00001649504	2844711	2844863
ENSE00001777381	2845981	2846121
ENSE00001494540	2846851	2850547
ENSE00001857352	2803541	2803810
ENSE00003626126	2843136	2843285
ENSE00003631374	2843552	2843695
ENSE00001955114	2845981	2846094
ENSE00001334555	2803546	2803810
ENSE00001597745	2829115	2829327
ENSE00001900413	2845860	2846121
ENSE00001880607	2846851	2847391
ENSE00001746216	2803112	2803487
ENSE00001368923	2846851	2850546
ENSE00001648585	2803518	2803810
ENSE00003604519	2829115	2829687
ENSE00001408731	6778727	6779023
ENSE00001494437	6780129	6780213
ENSE00001494434	6846254	6846284
ENSE00001494433	6863845	6863939
ENSE00001494431	6889490	6889578
ENSE00001793373	6893076	6893183
ENSE00003432678	6911021	6911166
ENSE00003437631	6931938	6932190
ENSE00003379331	6938237	6938369
ENSE00001213593	6938761	6938902
ENSE00001607530	6939601	6939664
ENSE00001716749	6939774	6939871
ENSE00001744765	6942601	6942661
ENSE00001731081	6948773	6948894
ENSE00001654905	6953939	6954013
ENSE00001729171	6954331	6954458
ENSE00001763966	6955308	6955473
